RawInputStyle,gold_vendor_normalized,gold_category,amount,gold_tags
Honor Ltd. IT Eqpt PO-3717 254M,Honor Device Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),254000000.0,
Vivo Corp. Comm Tools PO-8318 91K,Vivo Communication Technology Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),91000.0,
Samsng Ltd. Smart Gadgets PO-6254 122K,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),122000.0,
Honor Ltd. IT Eqpt PO-8317 122M,Honor Device Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),122000000.0,
Vivo Corp. Comm Tools PO-1176 762M,Vivo Communication Technology Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),762000000.0,
Appl Inc. Mobile Dev PO-6500 962K,Apple Inc.,Mobile Devices > Smartphones (UNSPSC: 43191501),962000.0,
Honor Ltd. Comm Tools PO-6367 740M,Honor Device Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),740000000.0,
Appl Inc. Comm Tools PO-2377 270M,Apple Inc.,Communication Equipment > Tools (UNSPSC: 43191500),270000000.0,
iQOO Ltd. Comm Tools PO-9557 900M,iQOO Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),900000000.0,
Samsng Ltd. Mobile Dev PO-8753 226K,Samsung Electronics Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),226000.0,
Oppo Co. Comm Tools PO-4171 553M,OPPO Electronics Corp.,Communication Equipment > Tools (UNSPSC: 43191500),553000000.0,
Honor Ltd. IT Eqpt PO-1330 723K,Honor Device Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),723000.0,
Vivo Corp. Comm Tools PO-9103 433K,Vivo Communication Technology Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),433000.0,
Appl Inc. Comm Tools PO-1836 874M,Apple Inc.,Communication Equipment > Tools (UNSPSC: 43191500),874000000.0,
Appl Inc. Smart Gadgets PO-2009 530K,Apple Inc.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),530000.0,
Samsng Ltd. Comm Tools PO-4341 237M,Samsung Electronics Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),237000000.0,
Honor Ltd. Comm Tools PO-3882 466K,Honor Device Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),466000.0,
iQOO Ltd. Smart Gadgets PO-4295 386K,iQOO Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),386000.0,
Oppo Co. IT Eqpt PO-3177 549K,OPPO Electronics Corp.,IT Equipment > General (UNSPSC: 43210000),549000.0,
Vivo Corp. Comm Tools PO-6009 718K,Vivo Communication Technology Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),718000.0,
Honor Ltd. IT Eqpt PO-8104 527M,Honor Device Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),527000000.0,
Honor Ltd. Smart Gadgets PO-1827 547K,Honor Device Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),547000.0,
Vivo Corp. Smart Gadgets PO-3238 77K,Vivo Communication Technology Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),77000.0,
iQOO Ltd. Comm Tools PO-3525 15K,iQOO Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),15000.0,
Vivo Corp. Comm Tools PO-4052 717M,Vivo Communication Technology Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),717000000.0,
Oppo Co. Mobile Dev PO-3476 441M,OPPO Electronics Corp.,Mobile Devices > Smartphones (UNSPSC: 43191501),441000000.0,
Appl Inc. Comm Tools PO-4029 708M,Apple Inc.,Communication Equipment > Tools (UNSPSC: 43191500),708000000.0,
Redmi Intl. IT Eqpt PO-7356 423K,Xiaomi Redmi (International),IT Equipment > General (UNSPSC: 43210000),423000.0,
Samsng Ltd. Smart Gadgets PO-9865 375K,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),375000.0,
Appl Inc. Comm Tools PO-8365 506K,Apple Inc.,Communication Equipment > Tools (UNSPSC: 43191500),506000.0,
Appl Inc. Smart Gadgets PO-4236 50M,Apple Inc.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),50000000.0,
Samsng Ltd. Comm Tools PO-2332 574K,Samsung Electronics Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),574000.0,
Redmi Intl. Mobile Dev PO-4949 566M,Xiaomi Redmi (International),Mobile Devices > Smartphones (UNSPSC: 43191501),566000000.0,
Honor Ltd. Mobile Dev PO-2942 115M,Honor Device Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),115000000.0,
Redmi Intl. IT Eqpt PO-6766 256M,Xiaomi Redmi (International),IT Equipment > General (UNSPSC: 43210000),256000000.0,
Vivo Corp. IT Eqpt PO-8511 406K,Vivo Communication Technology Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),406000.0,
Redmi Intl. Comm Tools PO-2972 23K,Xiaomi Redmi (International),Communication Equipment > Tools (UNSPSC: 43191500),23000.0,
Vivo Corp. Smart Gadgets PO-6580 746K,Vivo Communication Technology Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),746000.0,
Realme Pvt. Mobile Dev PO-4285 466M,Realme Pvt. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),466000000.0,
Vivo Corp. Mobile Dev PO-9370 447M,Vivo Communication Technology Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),447000000.0,
Realme Pvt. IT Eqpt PO-6793 154M,Realme Pvt. Ltd.,IT Equipment > General (UNSPSC: 43210000),154000000.0,
Vivo Corp. Comm Tools PO-8685 816K,Vivo Communication Technology Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),816000.0,
Appl Inc. Comm Tools PO-1498 229M,Apple Inc.,Communication Equipment > Tools (UNSPSC: 43191500),229000000.0,
Oppo Co. Comm Tools PO-8278 285K,OPPO Electronics Corp.,Communication Equipment > Tools (UNSPSC: 43191500),285000.0,
Honor Ltd. IT Eqpt PO-2596 280K,Honor Device Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),280000.0,
Appl Inc. Comm Tools PO-3749 504M,Apple Inc.,Communication Equipment > Tools (UNSPSC: 43191500),504000000.0,
Realme Pvt. IT Eqpt PO-9136 831M,Realme Pvt. Ltd.,IT Equipment > General (UNSPSC: 43210000),831000000.0,
Oppo Co. Mobile Dev PO-6820 482M,OPPO Electronics Corp.,Mobile Devices > Smartphones (UNSPSC: 43191501),482000000.0,
Oppo Co. Comm Tools PO-5566 814K,OPPO Electronics Corp.,Communication Equipment > Tools (UNSPSC: 43191500),814000.0,
iQOO Ltd. Comm Tools PO-1298 792M,iQOO Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),792000000.0,
Samsng Ltd. Mobile Dev PO-2157 512K,Samsung Electronics Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),512000.0,
Appl Inc. Mobile Dev PO-3329 598M,Apple Inc.,Mobile Devices > Smartphones (UNSPSC: 43191501),598000000.0,
Vivo Corp. IT Eqpt PO-6516 509M,Vivo Communication Technology Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),509000000.0,
Realme Pvt. IT Eqpt PO-1543 618K,Realme Pvt. Ltd.,IT Equipment > General (UNSPSC: 43210000),618000.0,
Realme Pvt. Comm Tools PO-5695 625M,Realme Pvt. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),625000000.0,
Honor Ltd. Smart Gadgets PO-5075 115K,Honor Device Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),115000.0,
Redmi Intl. IT Eqpt PO-3829 678K,Xiaomi Redmi (International),IT Equipment > General (UNSPSC: 43210000),678000.0,
Oppo Co. Comm Tools PO-8785 128M,OPPO Electronics Corp.,Communication Equipment > Tools (UNSPSC: 43191500),128000000.0,
Samsng Ltd. Comm Tools PO-7923 949K,Samsung Electronics Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),949000.0,
Realme Pvt. Mobile Dev PO-1005 100K,Realme Pvt. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),100000.0,
Vivo Corp. Comm Tools PO-5161 192M,Vivo Communication Technology Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),192000000.0,
Redmi Intl. Comm Tools PO-6399 437K,Xiaomi Redmi (International),Communication Equipment > Tools (UNSPSC: 43191500),437000.0,
Redmi Intl. Mobile Dev PO-2196 165M,Xiaomi Redmi (International),Mobile Devices > Smartphones (UNSPSC: 43191501),165000000.0,
Samsng Ltd. Smart Gadgets PO-8248 931K,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),931000.0,
Redmi Intl. Comm Tools PO-8712 507M,Xiaomi Redmi (International),Communication Equipment > Tools (UNSPSC: 43191500),507000000.0,
Oppo Co. Smart Gadgets PO-3094 953K,OPPO Electronics Corp.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),953000.0,
Appl Inc. Comm Tools PO-2325 197K,Apple Inc.,Communication Equipment > Tools (UNSPSC: 43191500),197000.0,
Redmi Intl. IT Eqpt PO-5891 360M,Xiaomi Redmi (International),IT Equipment > General (UNSPSC: 43210000),360000000.0,
Appl Inc. Mobile Dev PO-6728 387M,Apple Inc.,Mobile Devices > Smartphones (UNSPSC: 43191501),387000000.0,
Redmi Intl. Smart Gadgets PO-1497 486K,Xiaomi Redmi (International),IT Equipment > Smart Gadgets (UNSPSC: 43211500),486000.0,
Honor Ltd. Smart Gadgets PO-6346 795M,Honor Device Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),795000000.0,
Redmi Intl. Smart Gadgets PO-9743 151M,Xiaomi Redmi (International),IT Equipment > Smart Gadgets (UNSPSC: 43211500),151000000.0,
Oppo Co. Comm Tools PO-5776 148K,OPPO Electronics Corp.,Communication Equipment > Tools (UNSPSC: 43191500),148000.0,
Honor Ltd. Comm Tools PO-9884 354M,Honor Device Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),354000000.0,
Honor Ltd. Comm Tools PO-6105 826M,Honor Device Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),826000000.0,
Redmi Intl. Mobile Dev PO-9044 291M,Xiaomi Redmi (International),Mobile Devices > Smartphones (UNSPSC: 43191501),291000000.0,
Oppo Co. Mobile Dev PO-1377 714M,OPPO Electronics Corp.,Mobile Devices > Smartphones (UNSPSC: 43191501),714000000.0,
Realme Pvt. Smart Gadgets PO-8264 282K,Realme Pvt. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),282000.0,
Oppo Co. IT Eqpt PO-7805 639M,OPPO Electronics Corp.,IT Equipment > General (UNSPSC: 43210000),639000000.0,
Vivo Corp. Comm Tools PO-9169 494K,Vivo Communication Technology Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),494000.0,
Honor Ltd. Mobile Dev PO-4264 403M,Honor Device Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),403000000.0,
Samsng Ltd. IT Eqpt PO-1367 500M,Samsung Electronics Ltd.,IT Equipment > General (UNSPSC: 43210000),500000000.0,
Appl Inc. Smart Gadgets PO-2181 435K,Apple Inc.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),435000.0,
Vivo Corp. Mobile Dev PO-9421 738M,Vivo Communication Technology Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),738000000.0,
Honor Ltd. Smart Gadgets PO-5724 936M,Honor Device Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),936000000.0,
Redmi Intl. IT Eqpt PO-6586 602K,Xiaomi Redmi (International),IT Equipment > General (UNSPSC: 43210000),602000.0,
Samsng Ltd. IT Eqpt PO-2594 386K,Samsung Electronics Ltd.,IT Equipment > General (UNSPSC: 43210000),386000.0,
iQOO Ltd. Comm Tools PO-4708 503K,iQOO Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),503000.0,
Realme Pvt. Comm Tools PO-1086 5K,Realme Pvt. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),5000.0,
Vivo Corp. Mobile Dev PO-6618 608K,Vivo Communication Technology Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),608000.0,
Honor Ltd. IT Eqpt PO-3930 747M,Honor Device Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),747000000.0,
Samsng Ltd. IT Eqpt PO-9823 54K,Samsung Electronics Ltd.,IT Equipment > General (UNSPSC: 43210000),54000.0,
Oppo Co. IT Eqpt PO-2635 209M,OPPO Electronics Corp.,IT Equipment > General (UNSPSC: 43210000),209000000.0,
Redmi Intl. Mobile Dev PO-3015 100M,Xiaomi Redmi (International),Mobile Devices > Smartphones (UNSPSC: 43191501),100000000.0,
Vivo Corp. Smart Gadgets PO-5267 406K,Vivo Communication Technology Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),406000.0,
Appl Inc. Comm Tools PO-6725 525K,Apple Inc.,Communication Equipment > Tools (UNSPSC: 43191500),525000.0,
Appl Inc. Mobile Dev PO-5380 47M,Apple Inc.,Mobile Devices > Smartphones (UNSPSC: 43191501),47000000.0,
Samsng Ltd. Smart Gadgets PO-9851 635K,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),635000.0,
Oppo Co. IT Eqpt PO-1581 776M,OPPO Electronics Corp.,IT Equipment > General (UNSPSC: 43210000),776000000.0,
iQOO Ltd. Mobile Dev PO-1035 235K,iQOO Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),235000.0,
Realme Pvt. IT Eqpt PO-3778 338K,Realme Pvt. Ltd.,IT Equipment > General (UNSPSC: 43210000),338000.0,
Vivo Corp. Mobile Dev PO-1117 294M,Vivo Communication Technology Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),294000000.0,
Realme Pvt. Mobile Dev PO-4028 281M,Realme Pvt. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),281000000.0,
Realme Pvt. Smart Gadgets PO-1898 393M,Realme Pvt. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),393000000.0,
Redmi Intl. Mobile Dev PO-3771 54M,Xiaomi Redmi (International),Mobile Devices > Smartphones (UNSPSC: 43191501),54000000.0,
Realme Pvt. Comm Tools PO-2369 749M,Realme Pvt. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),749000000.0,
Oppo Co. Mobile Dev PO-1426 538K,OPPO Electronics Corp.,Mobile Devices > Smartphones (UNSPSC: 43191501),538000.0,
Appl Inc. Mobile Dev PO-9157 728K,Apple Inc.,Mobile Devices > Smartphones (UNSPSC: 43191501),728000.0,
Samsng Ltd. Smart Gadgets PO-3532 469M,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),469000000.0,
Redmi Intl. Mobile Dev PO-4650 237M,Xiaomi Redmi (International),Mobile Devices > Smartphones (UNSPSC: 43191501),237000000.0,
iQOO Ltd. Mobile Dev PO-2470 919M,iQOO Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),919000000.0,
iQOO Ltd. Comm Tools PO-2921 615M,iQOO Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),615000000.0,
iQOO Ltd. Mobile Dev PO-3641 585K,iQOO Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),585000.0,
Realme Pvt. Comm Tools PO-2671 295K,Realme Pvt. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),295000.0,
Vivo Corp. Smart Gadgets PO-3319 694M,Vivo Communication Technology Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),694000000.0,
Appl Inc. Smart Gadgets PO-6738 5M,Apple Inc.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),5000000.0,
iQOO Ltd. IT Eqpt PO-7859 765M,iQOO Ltd.,IT Equipment > General (UNSPSC: 43210000),765000000.0,
iQOO Ltd. Mobile Dev PO-7530 662K,iQOO Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),662000.0,
Honor Ltd. IT Eqpt PO-2182 475M,Honor Device Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),475000000.0,
Samsng Ltd. Comm Tools PO-6423 993K,Samsung Electronics Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),993000.0,
Realme Pvt. Smart Gadgets PO-5593 966K,Realme Pvt. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),966000.0,
Honor Ltd. IT Eqpt PO-6310 591K,Honor Device Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),591000.0,
Realme Pvt. Mobile Dev PO-6050 858M,Realme Pvt. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),858000000.0,
Vivo Corp. Mobile Dev PO-7705 806K,Vivo Communication Technology Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),806000.0,
Realme Pvt. Mobile Dev PO-3272 952K,Realme Pvt. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),952000.0,
iQOO Ltd. Mobile Dev PO-8475 634K,iQOO Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),634000.0,
iQOO Ltd. IT Eqpt PO-1919 272K,iQOO Ltd.,IT Equipment > General (UNSPSC: 43210000),272000.0,
Vivo Corp. Smart Gadgets PO-4557 526K,Vivo Communication Technology Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),526000.0,
Oppo Co. Mobile Dev PO-5186 914M,OPPO Electronics Corp.,Mobile Devices > Smartphones (UNSPSC: 43191501),914000000.0,
Realme Pvt. IT Eqpt PO-6837 809M,Realme Pvt. Ltd.,IT Equipment > General (UNSPSC: 43210000),809000000.0,
iQOO Ltd. Mobile Dev PO-8860 454M,iQOO Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),454000000.0,
Oppo Co. Mobile Dev PO-4440 226M,OPPO Electronics Corp.,Mobile Devices > Smartphones (UNSPSC: 43191501),226000000.0,
Appl Inc. Smart Gadgets PO-8159 269K,Apple Inc.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),269000.0,
Samsng Ltd. Comm Tools PO-6770 121M,Samsung Electronics Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),121000000.0,
iQOO Ltd. Mobile Dev PO-6795 798K,iQOO Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),798000.0,
Samsng Ltd. Comm Tools PO-4278 336M,Samsung Electronics Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),336000000.0,
Realme Pvt. Comm Tools PO-9115 83K,Realme Pvt. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),83000.0,
iQOO Ltd. Comm Tools PO-7991 545M,iQOO Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),545000000.0,
Redmi Intl. IT Eqpt PO-6403 212K,Xiaomi Redmi (International),IT Equipment > General (UNSPSC: 43210000),212000.0,
Samsng Ltd. Comm Tools PO-9154 808K,Samsung Electronics Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),808000.0,
Vivo Corp. Smart Gadgets PO-7327 736K,Vivo Communication Technology Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),736000.0,
Honor Ltd. Comm Tools PO-1903 615K,Honor Device Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),615000.0,
Vivo Corp. Mobile Dev PO-8611 427M,Vivo Communication Technology Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),427000000.0,
Redmi Intl. Mobile Dev PO-9317 944K,Xiaomi Redmi (International),Mobile Devices > Smartphones (UNSPSC: 43191501),944000.0,
Vivo Corp. Mobile Dev PO-2633 860K,Vivo Communication Technology Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),860000.0,
Samsng Ltd. Smart Gadgets PO-9439 626K,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),626000.0,
Oppo Co. Smart Gadgets PO-8935 170M,OPPO Electronics Corp.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),170000000.0,
iQOO Ltd. Mobile Dev PO-4004 562K,iQOO Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),562000.0,
Redmi Intl. Comm Tools PO-5901 960M,Xiaomi Redmi (International),Communication Equipment > Tools (UNSPSC: 43191500),960000000.0,
Honor Ltd. Mobile Dev PO-7386 809M,Honor Device Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),809000000.0,
Realme Pvt. IT Eqpt PO-2658 465M,Realme Pvt. Ltd.,IT Equipment > General (UNSPSC: 43210000),465000000.0,
Appl Inc. Smart Gadgets PO-4095 166M,Apple Inc.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),166000000.0,
Appl Inc. Comm Tools PO-3352 78M,Apple Inc.,Communication Equipment > Tools (UNSPSC: 43191500),78000000.0,
Realme Pvt. Smart Gadgets PO-4288 357K,Realme Pvt. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),357000.0,
Honor Ltd. IT Eqpt PO-4785 23K,Honor Device Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),23000.0,
iQOO Ltd. Mobile Dev PO-7203 322M,iQOO Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),322000000.0,
iQOO Ltd. Comm Tools PO-7937 578K,iQOO Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),578000.0,
Oppo Co. Comm Tools PO-4516 274K,OPPO Electronics Corp.,Communication Equipment > Tools (UNSPSC: 43191500),274000.0,
Samsng Ltd. IT Eqpt PO-9419 246K,Samsung Electronics Ltd.,IT Equipment > General (UNSPSC: 43210000),246000.0,
iQOO Ltd. IT Eqpt PO-7350 831K,iQOO Ltd.,IT Equipment > General (UNSPSC: 43210000),831000.0,
Appl Inc. Mobile Dev PO-9935 760K,Apple Inc.,Mobile Devices > Smartphones (UNSPSC: 43191501),760000.0,
Vivo Corp. Smart Gadgets PO-2175 793M,Vivo Communication Technology Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),793000000.0,
Redmi Intl. Smart Gadgets PO-2908 505M,Xiaomi Redmi (International),IT Equipment > Smart Gadgets (UNSPSC: 43211500),505000000.0,
iQOO Ltd. Comm Tools PO-5774 501K,iQOO Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),501000.0,
iQOO Ltd. Smart Gadgets PO-7939 266M,iQOO Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),266000000.0,
Honor Ltd. Smart Gadgets PO-1584 837M,Honor Device Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),837000000.0,
Realme Pvt. IT Eqpt PO-5322 289K,Realme Pvt. Ltd.,IT Equipment > General (UNSPSC: 43210000),289000.0,
Samsng Ltd. IT Eqpt PO-1404 585K,Samsung Electronics Ltd.,IT Equipment > General (UNSPSC: 43210000),585000.0,
iQOO Ltd. Mobile Dev PO-9762 779M,iQOO Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),779000000.0,
Redmi Intl. IT Eqpt PO-2856 450K,Xiaomi Redmi (International),IT Equipment > General (UNSPSC: 43210000),450000.0,
Samsng Ltd. Smart Gadgets PO-3795 854M,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),854000000.0,
Appl Inc. Smart Gadgets PO-6438 884M,Apple Inc.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),884000000.0,
Samsng Ltd. Mobile Dev PO-8717 709M,Samsung Electronics Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),709000000.0,
Vivo Corp. Smart Gadgets PO-9254 443M,Vivo Communication Technology Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),443000000.0,
Samsng Ltd. Comm Tools PO-7914 114K,Samsung Electronics Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),114000.0,
Redmi Intl. Comm Tools PO-9204 106K,Xiaomi Redmi (International),Communication Equipment > Tools (UNSPSC: 43191500),106000.0,
Redmi Intl. IT Eqpt PO-6829 426K,Xiaomi Redmi (International),IT Equipment > General (UNSPSC: 43210000),426000.0,
Realme Pvt. IT Eqpt PO-8448 900K,Realme Pvt. Ltd.,IT Equipment > General (UNSPSC: 43210000),900000.0,
Oppo Co. Smart Gadgets PO-3514 96K,OPPO Electronics Corp.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),96000.0,
Realme Pvt. IT Eqpt PO-5554 181K,Realme Pvt. Ltd.,IT Equipment > General (UNSPSC: 43210000),181000.0,
Redmi Intl. IT Eqpt PO-4905 839M,Xiaomi Redmi (International),IT Equipment > General (UNSPSC: 43210000),839000000.0,
Appl Inc. Mobile Dev PO-8835 829K,Apple Inc.,Mobile Devices > Smartphones (UNSPSC: 43191501),829000.0,
Realme Pvt. Comm Tools PO-5560 736K,Realme Pvt. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),736000.0,
Samsng Ltd. Comm Tools PO-8997 619K,Samsung Electronics Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),619000.0,
Samsng Ltd. Mobile Dev PO-2661 703K,Samsung Electronics Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),703000.0,
Oppo Co. IT Eqpt PO-7434 693K,OPPO Electronics Corp.,IT Equipment > General (UNSPSC: 43210000),693000.0,
Realme Pvt. IT Eqpt PO-3064 90M,Realme Pvt. Ltd.,IT Equipment > General (UNSPSC: 43210000),90000000.0,
iQOO Ltd. Comm Tools PO-5184 376M,iQOO Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),376000000.0,
Redmi Intl. Comm Tools PO-4372 27M,Xiaomi Redmi (International),Communication Equipment > Tools (UNSPSC: 43191500),27000000.0,
Oppo Co. Comm Tools PO-7795 704M,OPPO Electronics Corp.,Communication Equipment > Tools (UNSPSC: 43191500),704000000.0,
Redmi Intl. Comm Tools PO-3723 610M,Xiaomi Redmi (International),Communication Equipment > Tools (UNSPSC: 43191500),610000000.0,
Samsng Ltd. Comm Tools PO-2263 371M,Samsung Electronics Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),371000000.0,
Realme Pvt. Smart Gadgets PO-6906 542M,Realme Pvt. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),542000000.0,
Appl Inc. IT Eqpt PO-5348 872M,Apple Inc.,IT Equipment > General (UNSPSC: 43210000),872000000.0,
Honor Ltd. Comm Tools PO-8009 939K,Honor Device Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),939000.0,
Redmi Intl. Mobile Dev PO-6475 972M,Xiaomi Redmi (International),Mobile Devices > Smartphones (UNSPSC: 43191501),972000000.0,
iQOO Ltd. Comm Tools PO-7028 992M,iQOO Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),992000000.0,
Vivo Corp. Mobile Dev PO-8497 294K,Vivo Communication Technology Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),294000.0,
Vivo Corp. IT Eqpt PO-5200 621K,Vivo Communication Technology Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),621000.0,
Vivo Corp. Comm Tools PO-4508 614M,Vivo Communication Technology Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),614000000.0,
Oppo Co. Smart Gadgets PO-1866 115K,OPPO Electronics Corp.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),115000.0,
Realme Pvt. Comm Tools PO-7615 472M,Realme Pvt. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),472000000.0,
Vivo Corp. Smart Gadgets PO-5946 699K,Vivo Communication Technology Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),699000.0,
Redmi Intl. Mobile Dev PO-5801 918K,Xiaomi Redmi (International),Mobile Devices > Smartphones (UNSPSC: 43191501),918000.0,
